id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Golden Static,Stella Vox,pop,uplifting,0.85,122,0.87,0.82,0.12
3,Ultraviolet,Max Pulse,pop,intense,0.94,140,0.75,0.85,0.04
4,Candy Frequency,Prism Waves,pop,happy,0.78,116,0.86,0.80,0.20
5,Neon Carnival,Max Pulse,pop,energetic,0.91,138,0.90,0.92,0.06
6,Pastel Frequency,Aurora Belle,pop,chill,0.68,112,0.78,0.74,0.28
7,Chart Topper,The Daylights,pop,happy,0.88,130,0.88,0.90,0.07
8,Pulse Check,Stella Vox,pop,energetic,0.90,136,0.80,0.87,0.06
9,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
10,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
11,Study Hall,LoRoom,lofi,focused,0.36,82,0.55,0.58,0.82
12,Foggy Morning Cafe,Cloud Nine Beats,lofi,relaxed,0.32,68,0.62,0.53,0.91
13,Hazy Boulevard,Dusty Attic,lofi,chill,0.38,76,0.54,0.57,0.80
14,Canvas and Rain,Basement Hours,lofi,focused,0.43,84,0.50,0.61,0.76
15,Tape Hiss Dreams,Willow Tape,lofi,nostalgic,0.33,74,0.52,0.55,0.84
16,Vinyl Midnight,LoRoom,lofi,chill,0.36,76,0.53,0.56,0.83
17,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
18,Broken Glass Sky,Chain Fist,rock,melancholic,0.74,132,0.38,0.58,0.18
19,Thunder Protocol,Voltline,rock,intense,0.89,148,0.44,0.70,0.08
20,Fault Lines,Red Horizon,rock,angry,0.88,145,0.35,0.64,0.09
21,Broken Signal,Ember District,rock,moody,0.78,138,0.40,0.62,0.14
22,Red Line,Hollow Signal,rock,energetic,0.87,142,0.55,0.72,0.11
23,Last Highway,The Static Kings,rock,nostalgic,0.72,134,0.48,0.60,0.22
24,Electric Bones,Chain Fist,rock,intense,0.85,156,0.42,0.65,0.08
25,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
26,Deep Orbit,Glass Terrain,ambient,peaceful,0.20,55,0.60,0.32,0.95
27,Stellar Drift,Orbit Bloom,ambient,chill,0.25,58,0.67,0.38,0.94
28,Ghost Signal,Void Canvas,ambient,moody,0.22,52,0.35,0.28,0.97
29,Void Walker,Still Water,ambient,moody,0.18,48,0.28,0.24,0.98
30,Tidal Memory,Echo Plains,ambient,peaceful,0.15,50,0.70,0.22,0.97
31,Cloud Atlas,Glass Terrain,ambient,relaxed,0.23,57,0.62,0.34,0.94
32,Soft Cartography,Void Canvas,ambient,chill,0.19,54,0.58,0.26,0.96
33,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
34,Bebop Kitchen,Brass & Ivory,jazz,happy,0.55,108,0.82,0.66,0.74
35,Late Night Sax,Midnight Quartet,jazz,romantic,0.45,85,0.73,0.60,0.87
36,Midnight at the Club,Slow Stereo,jazz,groovy,0.62,118,0.79,0.72,0.68
37,Smoke and Strings,The Blue Notes,jazz,relaxed,0.40,88,0.68,0.58,0.91
38,Uptown Swing,Satin Keys,jazz,happy,0.58,112,0.84,0.68,0.72
39,Quarter Note,Brass & Ivory,jazz,focused,0.42,95,0.70,0.56,0.86
40,Cobblestone Blues,Midnight Quartet,jazz,melancholic,0.35,80,0.52,0.48,0.90
41,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
42,Neon Coast,Circuit Dreams,synthwave,moody,0.78,114,0.52,0.76,0.20
43,Cassette Rewind,Binary Sunset,synthwave,nostalgic,0.70,105,0.58,0.68,0.28
44,Digital Mirage,Gridlock,synthwave,intense,0.82,122,0.55,0.80,0.16
45,Retrograde,Photon Drive,synthwave,nostalgic,0.72,108,0.60,0.72,0.24
46,Cobalt Static,Circuit Dreams,synthwave,moody,0.76,112,0.46,0.75,0.21
47,Outrun the Sun,Binary Sunset,synthwave,uplifting,0.80,118,0.65,0.78,0.18
48,Laser Grid,Gridlock,synthwave,intense,0.84,120,0.50,0.82,0.14
49,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
50,Pastel Afternoon,Dreamsail,indie pop,happy,0.68,116,0.79,0.75,0.40
51,Golden Hour Drift,The Paperback Kids,indie pop,relaxed,0.60,112,0.76,0.70,0.48
52,Wildfires,Bloom Theory,indie pop,intense,0.82,128,0.68,0.80,0.30
53,Chasing Daylight,Dreamsail,indie pop,uplifting,0.74,122,0.85,0.80,0.36
54,Bloom Season,Pastel Riot,indie pop,happy,0.70,118,0.80,0.77,0.42
55,Firefly Season,Indigo Parade,indie pop,romantic,0.65,114,0.77,0.72,0.45
56,Sunflower Arcade,The Paperback Kids,indie pop,happy,0.78,126,0.86,0.83,0.33
